NAMESHORT_SB;NAME_SB;PRICE;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PER_CHANGE;BUY_MEDIAN_FAILED_PER_CHANGE;BUY_AVERAGE_SUCCESS_PER_CHANGE;BUY_MEDIAN_SUCCESS_PER_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;PER_CHANGE_HIGHEST_THROUGH_CURRENT;URL_SB;URL_NN;COMPLIMENTARY_LIST;NAME_NORDNET;NAMESHORT_NORDNET;MARKET_ID;IDENTIFIER_ID;GROUP_BUY
G5EN.ST;G5 ENTERTAINMENT;315.8;63.2;147.0;57.1;252.0;63.6;1724.0;61.3;707.0;38.0;81.6;7.38;5.39;-3.54;-3.32;10.49;7.12;4.4;7.11;1.23;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=G5EN.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=60158&marketid=11;;G5 Entertainment AB;G5EN;11;60158;GROUP 1_mediumRisk
BIOT.ST;BIOTAGE;80.1;57.1;144.0;67.6;264.0;64.4;479.0;63.0;295.0;36.0;69.4;4.23;2.18;-1.83;-1.99;7.87;6.79;3.3;4.1;1.3;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOT.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5209&marketid=11;;Biotage AB;BIOT;11;5209;GROUP 1_mediumRisk
BIM.ST;BIMOBJECT;36.2;47.1;130.0;61.5;191.0;68.1;1545.0;58.9;622.0;34.0;70.6;7.8;3.52;-2.45;-2.59;14.01;7.4;3.66;8.37;1.11;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIM.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=99204&marketid=11;;BIMobject AB;BIM;11;99204;GROUP 1_mediumRisk
HTRO.ST;HEXATRONIC GROUP;57.5;73.3;156.0;74.3;252.0;65.7;565.0;71.1;324.0;33.0;75.8;5.51;2.94;-2.5;-2.48;8.89;6.57;3.58;5.33;1.49;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HTRO.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82816&marketid=11;;Hexatronic Group AB;HTRO;11;82816;GROUP 1_mediumRisk
CRAD-B.ST;C-RAD B;31.0;62.5;133.0;71.9;356.0;62.5;528.0;65.6;339.0;32.0;67.7;6.33;2.71;-1.83;-1.38;11.4;8.46;4.48;6.33;1.15;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRAD-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=74313&marketid=11;;C-RAD AB ser. B;CRAD B;11;74313;GROUP 1_mediumRisk
RAY-B.ST;RAYSEARCH LABORATORIES B;123.8;92.9;163.0;71.4;199.0;67.2;497.0;77.2;286.0;32.0;71.0;5.84;3.17;-0.85;-0.27;8.61;5.54;3.06;5.07;1.8;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RAY-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1063&marketid=11;;RaySearch Laboratories AB ser. B;RAY B;11;1063;GROUP 1_mediumRisk
ACTI.ST;ACTIVE BIOTECH;2.77;78.6;254.0;80.0;429.0;71.0;1061.0;76.5;581.0;31.0;76.7;11.06;3.75;-8.84;-3.57;15.21;7.63;4.22;8.81;4.91;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACTI.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=877&marketid=11;;Active Biotech AB;ACTI;11;877;GROUP 2_highRisk
BEGR.ST;BE GROUP;47.0;62.5;110.0;58.8;176.0;60.3;391.0;60.5;225.0;31.0;67.7;4.94;2.65;-1.54;-1.5;7.87;6.36;3.02;4.03;1.35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEGR.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=37309&marketid=11;;BE Group AB;BEGR;11;37309;GROUP 1_mediumRisk
MEDR-B.ST;MEDIRATT B;5.83;58.3;98.0;69.2;321.0;70.4;2319.0;66.0;912.0;27.0;65.4;16.53;12.29;-4.21;-3.54;27.0;18.45;10.04;15.4;2.64;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MEDR-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=81251&marketid=11;;MediRätt AB;MEDR B;11;81251;GROUP 2_highRisk
NXTMS.ST;NEXSTIM;2.05;45.5;85.0;58.6;120.0;67.9;1822.0;57.3;675.0;27.0;70.4;11.65;8.4;-5.36;-4.07;14.09;8.74;4.15;7.53;4.8;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NXTMS.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=103571&marketid=11;;Nexstim Oyj;NXTMS;11;103571;GROUP 1_mediumRisk
EOID.NGM;EYEONID GROUP;11.78;68.2;178.0;71.1;1001.0;72.0;2295.0;70.4;1158.0;25.0;75.0;12.35;7.36;-3.36;-3.55;19.78;11.88;7.22;13.2;1.45;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOID.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3EBY&marketid=13;YES;Eyeonid Group;EOID MTF;13;3EBY;GROUP 1_mediumRisk
IBT-B.ST;INFANT BACTERIAL THERAPEUTICS;139.0;42.9;163.0;46.2;283.0;62.5;1231.0;50.5;559.0;24.0;69.6;8.85;4.09;-2.08;-2.41;16.47;10.66;5.89;10.03;1.2;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IBT-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=120381&marketid=11;;Infant Bacterial Therapeutics AB ser. B;IBT B;11;120381;GROUP 1_mediumRisk
PIEZO.ST;PIEZOMOTOR UPPSALA;44.1;78.6;362.0;76.7;572.0;66.7;720.0;74.0;551.0;24.0;73.9;8.79;4.37;-3.91;-4.04;14.44;9.3;5.02;8.85;1.04;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PIEZO.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123299&marketid=11;;PiezoMotor Uppsala AB;PIEZO;11;123299;GROUP 1_mediumRisk
ONCO.ST;ONCOPEPTIDES;76.3;68.8;154.0;56.2;248.0;56.2;248.0;60.4;216.0;16.0;73.3;6.25;3.96;-1.09;-0.39;10.61;5.59;3.19;6.69;1.17;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ONCO.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=133615&marketid=11;;Oncopeptides AB;ONCO;11;133615;GROUP 1_mediumRisk
HEMC.ST;HEMCHECK SWEDEN;8.41;83.3;204.0;75.0;651.0;75.0;651.0;77.8;502.0;14.0;76.9;14.03;8.31;-5.19;-3.24;21.46;8.27;4.81;14.5;1.91;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMC.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135098&marketid=11;;Hemcheck Sweden AB;HEMC;11;135098;GROUP 1_mediumRisk
MYFC.ST;MYFC HOLDING;4.97;75.0;116.0;70.0;262.0;71.0;1454.0;72.0;610.0;31.0;73.3;12.46;4.85;-8.29;-2.63;15.87;4.11;1.51;8.62;6.14;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MYFC.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101187&marketid=11;;myFC Holding AB;MYFC;11;101187;GROUP 2_highRisk
SAVOS.ST;SAVO SOLAR;0.62;52.9;170.0;58.1;1740.0;62.3;5345.0;57.8;2418.0;30.0;60.0;12.91;4.38;-3.3;-3.23;20.22;4.53;0.63;10.01;5.26;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAVOS.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=108026&marketid=11;;Savosolar Plc;SAVOS;11;108026;GROUP 2_highRisk
DIVI-B.NGM;DIVIDEND SWEDEN;0.327;50.0;126.0;58.6;260.0;67.2;1439.0;58.6;608.0;29.0;67.9;10.57;5.55;-4.48;-4.5;15.73;4.78;1.0;8.44;4.5;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIVI-B.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=33RG&marketid=13;YES;Dividend Sweden B;DIVI MTF B;13;33RG;GROUP 2_highRisk
