NAMESHORT_SB;NAME_SB;PRICE;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PER_CHANGE;BUY_MEDIAN_FAILED_PER_CHANGE;BUY_AVERAGE_SUCCESS_PER_CHANGE;BUY_MEDIAN_SUCCESS_PER_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;PER_CHANGE_HIGHEST_THROUGH_CURRENT;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
ARCT.ST;ARCTIC GOLD;0.776;58.8;99;51.2;261;53.4;638;54.5;332;36;47.2;7.39;4.23;-4.62;-4.16;16.22;7.96;0.76;4.42;1.89;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCT.ST;11;67373;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=67373&marketid=11
BRIOX.NGM;BRIOX;3.78;40.0;78;44.8;142;36.9;100;40.6;106;32;34.4;6.91;5.17;-4.61;-4.36;12.36;7.83;-0.97;0.43;1.39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIOX.NGM;13;U1A;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=U1A&marketid=13
OLDM.ST;OLD MUTUAL;27.52;50.0;99;53.3;94;46.2;102;49.8;98;18;33.3;3.91;2.3;-1.5;-1.41;4.17;4.44;-0.26;-0.41;1.0;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OLDM.ST;11;33014;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=33014&marketid=11
SAS.ST;SAS;19.52;55.0;122;59.4;216;55.3;263;56.6;200;38;45.9;4.12;2.19;-2.42;-1.1;7.77;4.94;0.87;1.46;1.3;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAS.ST;11;13557;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=13557&marketid=11
SAS-PREF.ST;SAS PRF;;;;;;;;;;;;;;;;;;;;;;;;
ORTI-A.ST;ORTIVUS A;;;;;;;;;;;;;;;;;;;;;;;;
SAVOS.ST;SAVO SOLAR;0.64;56.2;176;60.0;1803;63.9;5949;60.0;2642;30;60.0;12.98;4.41;-3.3;-3.23;20.22;4.53;0.63;10.01;5.43;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAVOS.ST;11;108026;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=108026&marketid=11
NOMI.ST;NORDIC MINES;;;;;;;;;;;;;;;;;;;;;;;;
43464.ST;STOCKWIK FORVALTNING;0.05;62.5;243;56.5;184;38.5;70;52.5;165;26;28.0;8.5;5.0;-5.01;-4.83;24.49;2.78;-3.5;2.45;1.49;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43464.ST;11;1007;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1007&marketid=11
