NAMESHORT_SB;NAME_SB;PRICE;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PER_CHANGE;BUY_MEDIAN_FAILED_PER_CHANGE;BUY_AVERAGE_SUCCESS_PER_CHANGE;BUY_MEDIAN_SUCCESS_PER_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;PER_CHANGE_HIGHEST_THROUGH_CURRENT;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN;GROUP_BUY
G5EN.ST;G5 ENTERTAINMENT;327.0;65.0;161.0;61.1;269.0;64.5;1726.0;63.5;718.0;38.0;83.8;7.41;5.41;-3.54;-3.32;10.49;7.12;4.63;7.42;1.17;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=G5EN.ST;11;60158;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=60158&marketid=11;GROUP 1_mediumRisk
BIM.ST;BIMOBJECT;37.5;44.4;131.0;60.0;221.0;66.2;1548.0;56.9;633.0;34.0;69.7;7.84;3.36;-2.45;-2.59;14.01;7.4;3.57;8.22;1.05;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIM.ST;11;99204;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=99204&marketid=11;GROUP 1_mediumRisk
PROB.ST;PROBI AB;442.2;68.8;153.0;71.4;205.0;68.7;983.0;69.6;447.0;33.0;66.7;7.31;3.56;-4.9;-2.42;13.76;7.14;3.16;6.75;1.39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PROB.ST;11;27701;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=27701&marketid=11;GROUP 1_mediumRisk
BEGR.ST;BE GROUP;49.5;61.1;118.0;58.3;192.0;59.4;385.0;59.6;231.0;32.0;67.7;4.88;2.62;-1.51;-1.28;7.87;6.36;3.09;4.04;1.35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEGR.ST;11;37309;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=37309&marketid=11;GROUP 1_mediumRisk
ACTI.ST;ACTIVE BIOTECH;3.965;66.7;250.0;79.3;427.0;71.4;1422.0;72.5;699.0;31.0;73.3;11.54;4.72;-8.84;-3.57;16.7;10.72;6.1;9.08;4.95;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACTI.ST;11;877;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=877&marketid=11;GROUP 2_highRisk
TRANS.ST;TRANSTEMA;28.3;73.3;180.0;71.0;313.0;67.2;1519.0;70.5;670.0;30.0;65.5;9.37;5.54;-3.16;-2.82;13.75;9.23;4.27;7.12;2.46;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TRANS.ST;11;109528;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=109528&marketid=11;GROUP 1_mediumRisk
NXTMS.ST;NEXSTIM;1.988;41.7;94.0;60.0;163.0;67.3;1825.0;56.3;694.0;27.0;69.2;11.35;8.35;-5.36;-4.07;14.09;8.74;3.99;7.3;3.45;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NXTMS.ST;11;103571;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=103571&marketid=11;GROUP 1_mediumRisk
MEDR-B.ST;MEDIRATT B;6.29;60.0;101.0;65.4;247.0;71.2;2393.0;65.5;913.0;26.0;68.0;16.89;12.38;-4.4;-4.15;27.0;18.45;10.42;16.15;2.25;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MEDR-B.ST;11;81251;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=81251&marketid=11;GROUP 1_mediumRisk
EOID.NGM;EYEONID GROUP;11.46;72.7;181.0;68.4;946.0;72.9;2225.0;71.3;1117.0;24.0;73.9;12.77;7.6;-3.36;-3.55;20.64;11.95;7.1;13.58;1.52;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOID.NGM;13;3EBY;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3EBY&marketid=13;GROUP 1_mediumRisk
IBT-B.ST;INFANT BACTERIAL THERAPEUTICS;114.5;53.3;190.0;53.6;454.0;63.8;1271.0;56.9;638.0;23.0;69.6;8.98;4.17;-1.95;-2.05;16.47;10.66;6.0;10.07;1.16;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IBT-B.ST;11;120381;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=120381&marketid=11;GROUP 1_mediumRisk
PIEZO.ST;PIEZOMOTOR UPPSALA;41.7;69.2;328.0;71.0;480.0;63.8;653.0;68.0;487.0;23.0;69.6;8.76;4.33;-3.91;-4.04;14.68;8.19;3.67;8.23;1.15;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PIEZO.ST;11;123299;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123299&marketid=11;GROUP 1_mediumRisk
ONCO.ST;ONCOPEPTIDES;78.3;68.8;156.0;60.0;252.0;60.0;252.0;62.9;220.0;15.0;78.6;6.28;3.96;-1.06;-0.31;10.61;5.59;3.53;7.31;1.03;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ONCO.ST;11;133615;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=133615&marketid=11;GROUP 1_mediumRisk
HEMC.ST;HEMCHECK SWEDEN;8.68;86.7;234.0;74.1;629.0;74.1;629.0;78.3;497.0;13.0;76.9;14.42;9.77;-5.19;-3.24;23.23;9.86;6.03;15.86;1.99;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMC.ST;11;135098;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135098&marketid=11;GROUP 1_mediumRisk
ISR.ST;ISR IMMUNE SYSTEM REGULATION HOLDING;9.36;73.3;394.0;70.8;476.0;70.8;476.0;71.6;448.0;12.0;72.7;16.0;11.84;-7.72;-9.39;21.48;13.5;6.45;12.71;1.29;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ISR.ST;11;135384;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135384&marketid=11;GROUP 1_mediumRisk
PRLD.NGM;PROLIGHT DIAGNOSTICS;3.99;71.4;1540.0;68.2;2236.0;68.2;2236.0;69.3;2004.0;11.0;80.0;29.23;7.08;-7.49;-7.08;64.21;34.8;25.62;49.07;1.25;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PRLD.NGM;13;3NT5;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3NT5&marketid=13;GROUP 1_mediumRisk
SAVOS.ST;SAVO SOLAR;0.62;62.5;176.0;65.6;1943.0;65.6;5949.0;64.6;2689.0;30.0;60.0;12.98;4.41;-3.3;-3.23;20.22;4.53;0.63;10.01;5.43;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAVOS.ST;11;108026;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=108026&marketid=11;GROUP 2_highRisk
DIVI-B.NGM;DIVIDEND SWEDEN;0.36;61.1;164.0;60.7;284.0;69.6;1676.0;63.8;708.0;28.0;70.4;10.7;5.19;-4.05;-3.44;15.73;4.78;1.55;9.08;4.36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIVI-B.NGM;13;33RG;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=33RG&marketid=13;GROUP 2_highRisk
MYFC.ST;MYFC HOLDING;7.72;92.9;206.0;75.0;449.0;72.6;2538.0;80.2;1064.0;31.0;73.3;11.85;4.63;-4.44;-2.62;15.28;4.07;1.48;9.21;3.87;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MYFC.ST;11;101187;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101187&marketid=11;GROUP 2_highRisk
SERT.ST;SERSTECH;1.79;57.1;267.0;59.4;483.0;56.2;7524.0;57.6;2758.0;32.0;41.9;16.94;5.36;-4.09;-2.53;53.08;14.46;3.79;19.06;2.48;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SERT.ST;11;96216;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=96216&marketid=11;GROUP 2_highRisk
